city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
El Dorado Hills,El Dorado Hills,CA,California,6017,El Dorado,6017,El Dorado,38.675,-121.049,45104,359,polygon,FALSE,FALSE,America/Los_Angeles,3,95672 95762 95682,1840112094
Lemon Cove,Lemon Cove,CA,California,6107,Tulare,6107,Tulare,36.379,-119.0312,232,107,polygon,FALSE,TRUE,America/Los_Angeles,3,93244,1840112606
Dillon Beach,Dillon Beach,CA,California,6041,Marin,6041,Marin,38.2436,-122.956,156,20,polygon,FALSE,FALSE,America/Los_Angeles,3,94929 94971,1840112676
Patterson Tract,Patterson Tract,CA,California,6107,Tulare,6107,Tulare,36.3795,-119.2956,2320,619,polygon,FALSE,TRUE,America/Los_Angeles,3,93291,1840116495
Redcrest,Redcrest,CA,California,6023,Humboldt,6023,Humboldt,40.3987,-123.9474,36,23,polygon,FALSE,FALSE,America/Los_Angeles,3,95569,1840117585
Madera,Madera,CA,California,6039,Madera,6039,Madera,36.964,-120.0803,83636,1602,polygon,FALSE,TRUE,America/Los_Angeles,3,93637 93638 93639,1840011420
Brooktrails,Brooktrails,CA,California,6045,Mendocino,6045,Mendocino,39.4429,-123.3963,3705,196,polygon,FALSE,FALSE,America/Los_Angeles,3,95490,1840117524
Geyserville,Geyserville,CA,California,6097,Sonoma,6097,Sonoma,38.7173,-122.9034,929,79,polygon,FALSE,FALSE,America/Los_Angeles,3,95441,1840114544
Delhi,Delhi,CA,California,6047,Merced,6047,Merced,37.4306,-120.7759,11622,1278,polygon,FALSE,FALSE,America/Los_Angeles,3,95315,1840112659
Stanton,Stanton,CA,California,6059,Orange,6059,Orange,33.8002,-117.9935,38528,4802,polygon,FALSE,TRUE,America/Los_Angeles,2,90680,1840107817
Cobb,Cobb,CA,California,6033,Lake,6033,Lake,38.8356,-122.723,984,76,polygon,FALSE,FALSE,America/Los_Angeles,3,95426,1840111707
Amador City,Amador City,CA,California,6005,Amador,6005,Amador,38.419,-120.8232,190,236,polygon,FALSE,TRUE,America/Los_Angeles,3,95601 95685,1840106224
Vallejo,Vallejo,CA,California,6095,Solano,6095,Solano,38.1133,-122.2359,173844,1536,polygon,FALSE,TRUE,America/Los_Angeles,2,94592 94590 94591 94589,1840107867
Scotts Valley,Scotts Valley,CA,California,6087,Santa Cruz,6087,Santa Cruz,37.0555,-122.0118,11945,998,polygon,FALSE,TRUE,America/Los_Angeles,3,95066,1840011455
Fish Camp,Fish Camp,CA,California,6043,Mariposa,6043,Mariposa,37.4797,-119.6374,83,35,polygon,FALSE,FALSE,America/Los_Angeles,3,93623,1840114533
Alpine,Alpine,CA,California,6073,San Diego,6073,San Diego,32.8439,-116.7585,14795,213,polygon,FALSE,FALSE,America/Los_Angeles,3,91901 91903,1840111784
Rowland Heights,Rowland Heights,CA,California,6037,Los Angeles,6037,Los Angeles,33.9716,-117.8911,50572,1493,polygon,FALSE,FALSE,America/Los_Angeles,3,91748 91789,1840113178
Alta,Alta,CA,California,6061,Placer,6061,Placer,39.2138,-120.8033,476,77,polygon,FALSE,FALSE,America/Los_Angeles,3,95701,1840117516
North San Juan,North San Juan,CA,California,6057,Nevada,6057,Nevada,39.3718,-121.106,297,47,polygon,FALSE,FALSE,America/Los_Angeles,3,95960,1840117572
Mountain Mesa,Mountain Mesa,CA,California,6029,Kern,6029,Kern,35.6411,-118.4047,808,359,polygon,FALSE,FALSE,America/Los_Angeles,3,93240,1840112869
Shafter,Shafter,CA,California,6029,Kern,6029,Kern,35.4794,-119.2013,20889,195,polygon,FALSE,TRUE,America/Los_Angeles,3,93263 93314,1840107786
Bombay Beach,Bombay Beach,CA,California,6025,Imperial,6025,Imperial,33.3548,-115.7306,341,139,polygon,FALSE,FALSE,America/Los_Angeles,3,92257,1840111925
Fairfax,Fairfax,CA,California,6041,Marin,6041,Marin,37.9884,-122.595,7598,1331,polygon,FALSE,TRUE,America/Los_Angeles,3,94930,1840011397
Round Mountain,Round Mountain,CA,California,6089,Shasta,6089,Shasta,40.8005,-121.9375,98,22,polygon,FALSE,FALSE,America/Los_Angeles,3,96084,1840113174
Avocado Heights,Avocado Heights,CA,California,6037,Los Angeles,6037,Los Angeles,34.0381,-118.0026,16213,2313,polygon,FALSE,FALSE,America/Los_Angeles,2,91746 90601,1840111837
Dunnigan,Dunnigan,CA,California,6113,Yolo,6113,Yolo,38.8926,-121.9741,1299,95,polygon,FALSE,FALSE,America/Los_Angeles,3,95937,1840114523
Strathmore,Strathmore,CA,California,6107,Tulare,6107,Tulare,36.1438,-119.0612,3617,993,polygon,FALSE,FALSE,America/Los_Angeles,3,93267,1840113506
Inglewood,Inglewood,CA,California,6037,Los Angeles,6037,Los Angeles,33.9566,-118.3444,110598,4709,polygon,FALSE,TRUE,America/Los_Angeles,2,90305 90304 90303 90302 90301 90306 90307 90308 90309 90311 90312,1840107504
Randsburg,Randsburg,CA,California,6029,Kern,6029,Kern,35.368,-117.6607,143,28,polygon,FALSE,FALSE,America/Los_Angeles,3,93554,1840113110
Granite Hills,Granite Hills,CA,California,6073,San Diego,6073,San Diego,32.8033,-116.9056,2873,397,polygon,FALSE,FALSE,America/Los_Angeles,3,92021 92019,1840112349
Burlingame,Burlingame,CA,California,6081,San Mateo,6081,San Mateo,37.586,-122.3669,30686,2689,polygon,FALSE,TRUE,America/Los_Angeles,2,94010 94011,1840107017
Keddie,Keddie,CA,California,6063,Plumas,6063,Plumas,40.0059,-120.9525,42,24,polygon,FALSE,FALSE,America/Los_Angeles,3,95971,1840112484
Lodi,Lodi,CA,California,6077,San Joaquin,6077,San Joaquin,38.1218,-121.2933,72890,1860,polygon,FALSE,TRUE,America/Los_Angeles,3,95240 95242,1840011464
Saticoy,Saticoy,CA,California,6111,Ventura,6111,Ventura,34.2819,-119.1452,1005,1034,polygon,FALSE,FALSE,America/Los_Angeles,3,93004,1840116505
Avery,Avery,CA,California,6009,Calaveras,6009,Calaveras,38.1939,-120.379,575,49,polygon,FALSE,FALSE,America/Los_Angeles,3,95233 95224,1840111836
Spreckels,Spreckels,CA,California,6053,Monterey,6053,Monterey,36.6247,-121.6465,562,1776,polygon,FALSE,FALSE,America/Los_Angeles,3,93962,1840112781
South Whittier,South Whittier,CA,California,6037,Los Angeles,6037,Los Angeles,33.9336,-118.0311,60000,4340,polygon,FALSE,FALSE,America/Los_Angeles,2,90604 90605,1840112774
Boron,Boron,CA,California,6029,Kern,6029,Kern,35.0164,-117.6659,2406,67,polygon,FALSE,FALSE,America/Los_Angeles,3,93516 93596,1840111933
Cherry Valley,Cherry Valley,CA,California,6065,Riverside,6065,Riverside,33.9797,-116.9694,7924,381,polygon,FALSE,FALSE,America/Los_Angeles,3,92223,1840112061
Milpitas,Milpitas,CA,California,6085,Santa Clara,6085,Santa Clara,37.434,-121.8921,78106,2208,polygon,FALSE,TRUE,America/Los_Angeles,2,95035,1840107045
El Sobrante,El Sobrante,CA,California,6065,Riverside,6065,Riverside,33.8724,-117.4624,14451,772,polygon,FALSE,TRUE,America/Los_Angeles,3,92503,1840114529
Exeter,Exeter,CA,California,6107,Tulare,6107,Tulare,36.294,-119.1459,10553,1654,polygon,FALSE,TRUE,America/Los_Angeles,3,93221,1840105704
Whitewater,Whitewater,CA,California,6065,Riverside,6065,Riverside,33.9356,-116.6873,989,38,polygon,FALSE,TRUE,America/Los_Angeles,3,92282,1840114701
Inyokern,Inyokern,CA,California,6029,Kern,6029,Kern,35.6546,-117.8213,731,25,polygon,FALSE,FALSE,America/Los_Angeles,3,93527,1840112450
Rackerby,Rackerby,CA,California,6007,Butte,6007,Butte,39.4261,-121.3542,176,23,polygon,FALSE,TRUE,America/Los_Angeles,3,95966 95914,1840117282
Pajaro Dunes,Pajaro Dunes,CA,California,6087,Santa Cruz,6087,Santa Cruz,36.8722,-121.8101,319,48,polygon,FALSE,TRUE,America/Los_Angeles,3,95076,1840114623
Adin,Adin,CA,California,6049,Modoc,6049,Modoc,41.1964,-120.9494,206,23,polygon,FALSE,FALSE,America/Los_Angeles,3,96006,1840114448
Lake Nacimiento,Lake Nacimiento,CA,California,6079,San Luis Obispo,6079,San Luis Obispo,35.7309,-120.8702,2806,104,polygon,FALSE,FALSE,America/Los_Angeles,3,93446,1840112558
Live Oak,Live Oak,CA,California,6101,Sutter,6101,Sutter,39.2788,-121.6624,8935,1085,polygon,FALSE,TRUE,America/Los_Angeles,3,95953,1840011415
Fort Jones,Fort Jones,CA,California,6093,Siskiyou,6093,Siskiyou,41.6086,-122.8409,692,443,polygon,FALSE,TRUE,America/Los_Angeles,3,96032,1840011401
Rancho Cordova,Rancho Cordova,CA,California,6067,Sacramento,6067,Sacramento,38.574,-121.2523,73563,811,polygon,FALSE,TRUE,America/Los_Angeles,3,95742 95670 95827 95741,1840106913
Black Point-Green Point,Black Point-Green Point,CA,California,6041,Marin,6041,Marin,38.112,-122.519,1544,210,polygon,FALSE,TRUE,America/Los_Angeles,3,94945,1840111906
Manhattan Beach,Manhattan Beach,CA,California,6037,Los Angeles,6037,Los Angeles,33.8895,-118.3972,35924,3522,polygon,FALSE,TRUE,America/Los_Angeles,2,90266 90267,1840107591
Montecito,Montecito,CA,California,6083,Santa Barbara,6083,Santa Barbara,34.4382,-119.6286,8984,371,polygon,FALSE,FALSE,America/Los_Angeles,3,93108 93150,1840112850
El Monte,El Monte,CA,California,6037,Los Angeles,6037,Los Angeles,34.0739,-118.0291,116109,4688,polygon,FALSE,TRUE,America/Los_Angeles,2,91732 91731 91733 91734 91735,1840105700
Bostonia,Bostonia,CA,California,6073,San Diego,6073,San Diego,32.8189,-116.9479,17600,3525,polygon,FALSE,FALSE,America/Los_Angeles,2,92021,1840111936
Palo Cedro,Palo Cedro,CA,California,6089,Shasta,6089,Shasta,40.5511,-122.2363,1253,131,polygon,FALSE,FALSE,America/Los_Angeles,3,96073,1840112994
Belmont,Belmont,CA,California,6081,San Mateo,6081,San Mateo,37.5154,-122.2955,27140,2261,polygon,FALSE,TRUE,America/Los_Angeles,2,94002,1840106270
Robbins,Robbins,CA,California,6101,Sutter,6101,Sutter,38.8672,-121.7055,329,48,polygon,FALSE,FALSE,America/Los_Angeles,3,95645,1840114642
Woodacre,Woodacre,CA,California,6041,Marin,6041,Marin,38.0052,-122.6384,1574,338,polygon,FALSE,FALSE,America/Los_Angeles,3,94973,1840113457
Sugarloaf Mountain Park,Sugarloaf Mountain Park,CA,California,6107,Tulare,6107,Tulare,35.8379,-118.6039,0,0,polygon,FALSE,FALSE,America/Los_Angeles,3,93260,1840116509
Willowbrook,Willowbrook,CA,California,6037,Los Angeles,6037,Los Angeles,33.9199,-118.2362,22654,5655,polygon,FALSE,FALSE,America/Los_Angeles,2,90059 90222,1840113438
Mather,Mather,CA,California,6067,Sacramento,6067,Sacramento,38.5489,-121.2832,4201,161,polygon,FALSE,TRUE,America/Los_Angeles,3,95655 95827,1840114593
Los Berros,Los Berros,CA,California,6079,San Luis Obispo,6079,San Luis Obispo,35.0809,-120.5451,483,74,polygon,FALSE,FALSE,America/Los_Angeles,3,93420,1840114583
Waterloo,Waterloo,CA,California,6077,San Joaquin,6077,San Joaquin,38.0365,-121.1846,750,53,polygon,FALSE,FALSE,America/Los_Angeles,3,95215,1840117601
Callender,Callender,CA,California,6079,San Luis Obispo,6079,San Luis Obispo,35.048,-120.5759,1679,283,polygon,FALSE,FALSE,America/Los_Angeles,3,93420,1840114476
Carmet,Carmet,CA,California,6097,Sonoma,6097,Sonoma,38.3743,-123.072,0,0,polygon,FALSE,FALSE,America/Los_Angeles,3,94923,1840114484
Yosemite Lakes,Yosemite Lakes,CA,California,6039,Madera,6039,Madera,37.1886,-119.7723,5274,97,polygon,FALSE,FALSE,America/Los_Angeles,3,93614,1840113474
Buckhorn,Buckhorn,CA,California,6005,Amador,6005,Amador,38.4532,-120.5354,2281,150,polygon,FALSE,FALSE,America/Los_Angeles,3,95666 95644,1840116630
Edmundson Acres,Edmundson Acres,CA,California,6029,Kern,6029,Kern,35.2273,-118.8233,414,2403,polygon,FALSE,FALSE,America/Los_Angeles,2,93203,1840118013
Grenada,Grenada,CA,California,6093,Siskiyou,6093,Siskiyou,41.6406,-122.526,471,352,polygon,FALSE,FALSE,America/Los_Angeles,3,96038,1840112365
Montclair,Montclair,CA,California,6071,San Bernardino,6071,San Bernardino,34.0714,-117.6981,39276,2749,polygon,FALSE,TRUE,America/Los_Angeles,2,91763,1840010853
Buck Meadows,Buck Meadows,CA,California,6043,Mariposa,6043,Mariposa,37.8127,-120.0653,51,11,polygon,FALSE,FALSE,America/Los_Angeles,3,95321,1840114472
Grimes,Grimes,CA,California,6011,Colusa,6011,Colusa,39.0742,-121.8988,271,46,polygon,FALSE,FALSE,America/Los_Angeles,3,95950,1840114550
Hayfork,Hayfork,CA,California,6105,Trinity,6105,Trinity,40.561,-123.1299,2641,14,polygon,FALSE,FALSE,America/Los_Angeles,3,96041,1840112387
Indio,Indio,CA,California,6065,Riverside,6065,Riverside,33.7346,-116.2346,408097,1043,polygon,FALSE,TRUE,America/Los_Angeles,2,92241 92201 92203,1840105720
Sierra City,Sierra City,CA,California,6091,Sierra,6091,Sierra,39.574,-120.6297,165,29,polygon,FALSE,FALSE,America/Los_Angeles,3,96125,1840114658
Mission Hills,Mission Hills,CA,California,6083,Santa Barbara,6083,Santa Barbara,34.6861,-120.4405,4014,1282,polygon,FALSE,FALSE,America/Los_Angeles,3,93436,1840112834
Valley Acres,Valley Acres,CA,California,6029,Kern,6029,Kern,35.2087,-119.4106,430,40,polygon,FALSE,FALSE,America/Los_Angeles,3,93268,1840113338
Montebello,Montebello,CA,California,6037,Los Angeles,6037,Los Angeles,34.0155,-118.1108,63192,2928,polygon,FALSE,TRUE,America/Los_Angeles,2,90640,1840106158
Newell,Newell,CA,California,6049,Modoc,6049,Modoc,41.8898,-121.3675,307,49,polygon,FALSE,FALSE,America/Los_Angeles,3,96134,1840114610
Parksdale,Parksdale,CA,California,6039,Madera,6039,Madera,36.9462,-120.0218,3029,645,polygon,FALSE,FALSE,America/Los_Angeles,3,93638,1840113007
Graton,Graton,CA,California,6097,Sonoma,6097,Sonoma,38.4376,-122.866,1827,446,polygon,FALSE,FALSE,America/Los_Angeles,3,95444 95472,1840112351
Livingston,Livingston,CA,California,6047,Merced,6047,Merced,37.3875,-120.7248,14140,1485,polygon,FALSE,TRUE,America/Los_Angeles,3,95334,1840105941
Traver,Traver,CA,California,6107,Tulare,6107,Tulare,36.4526,-119.4824,834,381,polygon,FALSE,FALSE,America/Los_Angeles,3,93673,1840113295
Floriston,Floriston,CA,California,6057,Nevada,6057,Nevada,39.393,-120.0145,34,13,polygon,FALSE,FALSE,America/Los_Angeles,3,96111,1840117540
Montague,Montague,CA,California,6093,Siskiyou,6093,Siskiyou,41.7275,-122.5302,1406,305,polygon,FALSE,TRUE,America/Los_Angeles,3,96064,1840011423
Mesa,Mesa,CA,California,6027,Inyo,6027,Inyo,37.4189,-118.5424,288,31,polygon,FALSE,TRUE,America/Los_Angeles,3,93514,1840112809
Lompico,Lompico,CA,California,6087,Santa Cruz,6087,Santa Cruz,37.1101,-122.0523,899,102,polygon,FALSE,FALSE,America/Los_Angeles,3,95005 95018,1840114580
Hidden Meadows,Hidden Meadows,CA,California,6073,San Diego,6073,San Diego,33.2236,-117.1198,3382,198,polygon,FALSE,FALSE,America/Los_Angeles,3,92026,1840112403
La Vina,La Vina,CA,California,6039,Madera,6039,Madera,36.8799,-120.1147,288,1104,polygon,FALSE,FALSE,America/Los_Angeles,3,93637,1840117556
Lindsay,Lindsay,CA,California,6107,Tulare,6107,Tulare,36.2082,-119.0897,16515,1879,polygon,FALSE,TRUE,America/Los_Angeles,3,93247,1840105728
Bass Lake,Bass Lake,CA,California,6039,Madera,6039,Madera,37.328,-119.5668,571,117,polygon,FALSE,FALSE,America/Los_Angeles,3,93604,1840117520
Calimesa,Calimesa,CA,California,6065,Riverside,6065,Riverside,33.9874,-117.0542,8817,229,polygon,FALSE,TRUE,America/Los_Angeles,3,92320 92223,1840107944
Thousand Palms,Thousand Palms,CA,California,6065,Riverside,6065,Riverside,33.815,-116.3545,7356,120,polygon,FALSE,FALSE,America/Los_Angeles,3,92276,1840113263
Modesto,Modesto,CA,California,6099,Stanislaus,6099,Stanislaus,37.6374,-121.0028,381398,1924,polygon,FALSE,TRUE,America/Los_Angeles,2,95358 95356 95355 95354 95351 95350 95352 95353 95397,1840011465
Pico Rivera,Pico Rivera,CA,California,6037,Los Angeles,6037,Los Angeles,33.9902,-118.0888,63522,2956,polygon,FALSE,TRUE,America/Los_Angeles,2,90660 90661 90662,1840105748
East Rancho Dominguez,East Rancho Dominguez,CA,California,6037,Los Angeles,6037,Los Angeles,33.8949,-118.1956,16027,7527,polygon,FALSE,FALSE,America/Los_Angeles,2,90221,1840112703
Maricopa,Maricopa,CA,California,6029,Kern,6029,Kern,35.0517,-119.4054,1197,307,polygon,FALSE,TRUE,America/Los_Angeles,3,93252,1840105732
Wilton,Wilton,CA,California,6067,Sacramento,6067,Sacramento,38.413,-121.2127,5097,67,polygon,FALSE,FALSE,America/Los_Angeles,3,95693,1840113441
Ocotillo,Ocotillo,CA,California,6025,Imperial,6025,Imperial,32.7431,-116.002,114,4,polygon,FALSE,FALSE,America/Los_Angeles,3,92259,1840112954
Klamath,Klamath,CA,California,6015,Del Norte,6015,Del Norte,41.5322,-124.0063,722,22,polygon,FALSE,FALSE,America/Los_Angeles,3,95548,1840112508
Costa Mesa,Costa Mesa,CA,California,6059,Orange,6059,Orange,33.6667,-117.9135,113825,2782,polygon,FALSE,TRUE,America/Los_Angeles,2,92626 92627 92628,1840105691
Oceano,Oceano,CA,California,6079,San Luis Obispo,6079,San Luis Obispo,35.1019,-120.609,7788,1963,polygon,FALSE,FALSE,America/Los_Angeles,3,93445 93475,1840112952
Robinson Mill,Robinson Mill,CA,California,6007,Butte,6007,Butte,39.4857,-121.3202,19,5,polygon,FALSE,TRUE,America/Los_Angeles,3,95966,1840117284
Colusa,Colusa,CA,California,6011,Colusa,6011,Colusa,39.2049,-122.0096,6781,1255,polygon,FALSE,TRUE,America/Los_Angeles,3,95932,1840011459
Meadowbrook,Meadowbrook,CA,California,6065,Riverside,6065,Riverside,33.7254,-117.2851,2656,152,polygon,FALSE,TRUE,America/Los_Angeles,3,92570,1840114596
Hidden Valley Lake,Hidden Valley Lake,CA,California,6033,Lake,6033,Lake,38.8003,-122.5505,5735,226,polygon,FALSE,FALSE,America/Los_Angeles,3,95461 95467,1840112404
Caruthers,Caruthers,CA,California,6019,Fresno,6019,Fresno,36.5399,-119.845,2984,569,polygon,FALSE,FALSE,America/Los_Angeles,3,93609,1840112019
Potrero,Potrero,CA,California,6073,San Diego,6073,San Diego,32.6131,-116.6068,465,57,polygon,FALSE,FALSE,America/Los_Angeles,3,91963,1840117582
Laton,Laton,CA,California,6019,Fresno,6019,Fresno,36.4338,-119.6916,1921,382,polygon,FALSE,FALSE,America/Los_Angeles,3,93242,1840112595
Hiouchi,Hiouchi,CA,California,6015,Del Norte,6015,Del Norte,41.7937,-124.0661,427,284,polygon,FALSE,FALSE,America/Los_Angeles,3,95531,1840117192
Fuller Acres,Fuller Acres,CA,California,6029,Kern,6029,Kern,35.3023,-118.9143,872,446,polygon,FALSE,FALSE,America/Los_Angeles,3,93307,1840118014
Herald,Herald,CA,California,6067,Sacramento,6067,Sacramento,38.2913,-121.2318,1125,55,polygon,FALSE,FALSE,America/Los_Angeles,3,95632 95638,1840114554
Furnace Creek,Furnace Creek,CA,California,6027,Inyo,6027,Inyo,36.4277,-116.8747,139,1,polygon,FALSE,FALSE,America/Los_Angeles,3,92328,1840112301
Lucerne Valley,Lucerne Valley,CA,California,6071,San Bernardino,6071,San Bernardino,34.4427,-116.9021,5472,20,polygon,FALSE,FALSE,America/Los_Angeles,3,92356,1840117298
Volcano,Volcano,CA,California,6005,Amador,6005,Amador,38.4456,-120.6306,35,9,polygon,FALSE,FALSE,America/Los_Angeles,3,95665 95689,1840114695
Redding,Redding,CA,California,6089,Shasta,6089,Shasta,40.5698,-122.365,120270,594,polygon,FALSE,TRUE,America/Los_Angeles,2,96002 96003 96001,1840011442
Concord,Concord,CA,California,6013,Contra Costa,6013,Contra Costa,37.9722,-122.0016,654770,1639,polygon,FALSE,TRUE,America/Los_Angeles,2,94518 94519 94521 94520 94522 94524 94527,1840106397
West Modesto,West Modesto,CA,California,6099,Stanislaus,6099,Stanislaus,37.618,-121.0343,5786,1566,polygon,FALSE,TRUE,America/Los_Angeles,3,95358 95351,1840113395
Golden Hills,Golden Hills,CA,California,6029,Kern,6029,Kern,35.1512,-118.5024,8889,280,polygon,FALSE,FALSE,America/Los_Angeles,3,93561,1840112335
Santa Fe Springs,Santa Fe Springs,CA,California,6037,Los Angeles,6037,Los Angeles,33.933,-118.0625,17980,782,polygon,FALSE,TRUE,America/Los_Angeles,3,90670 90671,1840107777
Fellows,Fellows,CA,California,6029,Kern,6029,Kern,35.178,-119.5472,57,31,polygon,FALSE,FALSE,America/Los_Angeles,3,93224,1840112240
Forestville,Forestville,CA,California,6097,Sonoma,6097,Sonoma,38.4825,-122.8899,3658,268,polygon,FALSE,FALSE,America/Los_Angeles,3,95436,1840112262
Los Molinos,Los Molinos,CA,California,6103,Tehama,6103,Tehama,40.027,-122.0981,1928,342,polygon,FALSE,FALSE,America/Los_Angeles,3,96055,1840112175
Banning,Banning,CA,California,6065,Riverside,6065,Riverside,33.9461,-116.8991,31230,518,polygon,FALSE,TRUE,America/Los_Angeles,3,92220,1840107278
Sacramento,Sacramento,CA,California,6067,Sacramento,6067,Sacramento,38.5667,-121.4683,1854698,1980,polygon,FALSE,TRUE,America/Los_Angeles,1,95820 95838 95832 95833 95831 95834 95835 95811 95814 95815 95816 95818 95819 95828 95821 95823 95822 95825 95824 95826 95817 94203 94204 94205 94207 94208 94209 94211 94229 94230 94232 94234 94235 94236 94237 94239 94240 94244 94245 94247 94248 94249 94250 94252 94254 94256 94257 94258 94259 94261 94262 94263 94267 94268 94269 94271 94273 94274 94277 94278 94279 94280 94282 94283 94284 94285 94287 94288 94289 94290 94291 94293 94294 94295 94296 94297 94298 94299 95812 95813 95840 95851 95852 95853 95867 95894,1840106955
Independence,Independence,CA,California,6027,Inyo,6027,Inyo,36.8275,-118.2133,607,48,polygon,FALSE,FALSE,America/Los_Angeles,3,93526,1840112439
Spring Valley Lake,Spring Valley Lake,CA,California,6071,San Bernardino,6071,San Bernardino,34.4988,-117.2684,7356,936,polygon,FALSE,FALSE,America/Los_Angeles,3,92395,1840114669
Valley Ford,Valley Ford,CA,California,6097,Sonoma,6097,Sonoma,38.3246,-122.9148,198,28,polygon,FALSE,FALSE,America/Los_Angeles,3,94952 94922,1840114690
Plumas Eureka,Plumas Eureka,CA,California,6063,Plumas,6063,Plumas,39.7982,-120.6645,303,29,polygon,FALSE,FALSE,America/Los_Angeles,3,96103,1840113051
Westside,Westside,CA,California,6019,Fresno,6019,Fresno,36.4042,-120.1344,234,40,polygon,FALSE,FALSE,America/Los_Angeles,3,93624,1840010842
Country Club,Country Club,CA,California,6077,San Joaquin,6077,San Joaquin,37.9687,-121.3408,9914,1996,polygon,FALSE,FALSE,America/Los_Angeles,3,95204,1840111734
East Quincy,East Quincy,CA,California,6063,Plumas,6063,Plumas,39.9165,-120.9189,2494,79,polygon,FALSE,FALSE,America/Los_Angeles,3,95971,1840112075
Rancho San Diego,Rancho San Diego,CA,California,6073,San Diego,6073,San Diego,32.7624,-116.9197,21651,961,polygon,FALSE,FALSE,America/Los_Angeles,3,92019,1840113104
Lewiston,Lewiston,CA,California,6105,Trinity,6105,Trinity,40.6969,-122.8225,1368,26,polygon,FALSE,FALSE,America/Los_Angeles,3,96052,1840112611
Bonadelle Ranchos-Madera Ranchos,Bonadelle Ranchos-Madera Ranchos,CA,California,6039,Madera,6039,Madera,36.9596,-119.8893,8647,286,polygon,FALSE,TRUE,America/Los_Angeles,3,93636,1840111926
Teviston,Teviston,CA,California,6107,Tulare,6107,Tulare,35.929,-119.2783,1135,201,polygon,FALSE,TRUE,America/Los_Angeles,3,93256 93219,1840116513
Lagunitas-Forest Knolls,Lagunitas-Forest Knolls,CA,California,6041,Marin,6041,Marin,38.018,-122.6914,1790,162,polygon,FALSE,TRUE,America/Los_Angeles,3,94963 94938 94933,1840112540
Palo Alto,Palo Alto,CA,California,6085,Santa Clara,6085,Santa Clara,37.3913,-122.1467,67178,1086,polygon,FALSE,TRUE,America/Los_Angeles,3,94022 95033 94303 94301 94306 94304 94302,1840011433
Pearsonville,Pearsonville,CA,California,6027,Inyo,6027,Inyo,35.8188,-117.8755,24,2,polygon,FALSE,FALSE,America/Los_Angeles,3,93527,1840113015
Bonita,Bonita,CA,California,6073,San Diego,6073,San Diego,32.6652,-117.0296,13082,1007,polygon,FALSE,FALSE,America/Los_Angeles,3,91902,1840111929
Del Rio,Del Rio,CA,California,6099,Stanislaus,6099,Stanislaus,37.7432,-121.0091,1078,199,polygon,FALSE,FALSE,America/Los_Angeles,3,95356,1840112658
Danville,Danville,CA,California,6013,Contra Costa,6013,Contra Costa,37.8121,-121.9698,44786,956,polygon,FALSE,TRUE,America/Los_Angeles,3,94506 94526,1840011390
Casa de Oro-Mount Helix,Casa de Oro-Mount Helix,CA,California,6073,San Diego,6073,San Diego,32.764,-116.9687,20196,1138,polygon,FALSE,TRUE,America/Los_Angeles,3,91977 91941 92020 91976,1840112022
Cloverdale,Cloverdale,CA,California,6097,Sonoma,6097,Sonoma,38.7962,-123.0154,9362,1119,polygon,FALSE,TRUE,America/Los_Angeles,3,95425,1840011385
La Quinta,La Quinta,CA,California,6065,Riverside,6065,Riverside,33.6536,-116.2785,41304,452,polygon,FALSE,TRUE,America/Los_Angeles,3,92253 92202 92247 92248,1840107544
Roseland,Roseland,CA,California,6097,Sonoma,6097,Sonoma,38.4178,-122.7298,5717,3748.7,point,FALSE,FALSE,America/Los_Angeles,2,95407,1840113170
Big Bear City,Big Bear City,CA,California,6071,San Bernardino,6071,San Bernardino,34.2536,-116.7903,13186,159,polygon,FALSE,FALSE,America/Los_Angeles,3,92314 92386,1840111887
Chinese Camp,Chinese Camp,CA,California,6109,Tuolumne,6109,Tuolumne,37.8703,-120.4443,218,93,polygon,FALSE,FALSE,America/Los_Angeles,3,95327,1840112070
Washington,Washington,CA,California,6057,Nevada,6057,Nevada,39.3591,-120.7906,78,15,polygon,FALSE,FALSE,America/Los_Angeles,3,95959 95986,1840117600
San Jacinto,San Jacinto,CA,California,6065,Riverside,6065,Riverside,33.797,-116.9915,48254,724,polygon,FALSE,TRUE,America/Los_Angeles,3,92583 92582 92581,1840105756
Carrick,Carrick,CA,California,6093,Siskiyou,6093,Siskiyou,41.4467,-122.3635,77,505,polygon,FALSE,FALSE,America/Los_Angeles,3,96094,1840112013
Meadow Vista,Meadow Vista,CA,California,6061,Placer,6061,Placer,39.0029,-121.0304,3448,252,polygon,FALSE,FALSE,America/Los_Angeles,3,95722,1840112800
Old Fig Garden,Old Fig Garden,CA,California,6019,Fresno,6019,Fresno,36.7989,-119.8051,5522,1278,polygon,FALSE,TRUE,America/Los_Angeles,3,93704 93705 93741,1840114622
Likely,Likely,CA,California,6049,Modoc,6049,Modoc,41.2254,-120.5033,0,0,polygon,FALSE,FALSE,America/Los_Angeles,3,96116,1840114577
Sugarloaf Saw Mill,Sugarloaf Saw Mill,CA,California,6107,Tulare,6107,Tulare,35.8343,-118.6166,0,0,polygon,FALSE,TRUE,America/Los_Angeles,3,93260,1840116510
